spp_group,iucn_sid,spatial_source,name_verified,class,sciname,am_sid,am_sciname,reviewed,iucn_id
GROUPERS,7862,iucn,TRUE,Actinopterygii,Epinephelus striatus,Fis-22722,Epinephelus striatus,1,7862
REPTILES,8005,iucn,TRUE,Reptilia,Eretmochelys imbricata,Rep-5181,Eretmochelys imbricata,1,8005
MARINE_MAMMALS,8010,iucn,TRUE,Mammalia,Erignathus barbatus,ITS-Mam-180655,Erignathus barbatus,null,8010
MARINE_MAMMALS,8097,iucn,TRUE,Mammalia,Eschrichtius robustus,ITS-Mam-180521,Eschrichtius robustus,1,8097
MARINE_MAMMALS,8153,iucn,TRUE,Mammalia,Eubalaena australis,ITS-Mam-552771,Eubalaena australis,1,8153
MARINE_MAMMALS,8239,iucn,TRUE,Mammalia,Eumetopias jubatus,ITS-Mam-180625,Eumetopias jubatus,1,8239
MARINE_MAMMALS,8551,iucn,TRUE,Mammalia,Feresa attenuata,ITS-Mam-180461,Feresa attenuata,1,8551
MARINE_MAMMALS,9249,iucn,TRUE,Mammalia,Globicephala macrorhynchus,ITS-Mam-180466,Globicephala macrorhynchus,1,9249
MARINE_MAMMALS,9250,iucn,TRUE,Mammalia,Globicephala melas,ITS-Mam-552461,Globicephala melas,1,9250
MARINE_MAMMALS,9461,iucn,TRUE,Mammalia,Grampus griseus,ITS-Mam-180457,Grampus griseus,1,9461
MARINE_MAMMALS,9660,iucn,TRUE,Mammalia,Halichoerus grypus,ITS-Mam-180653,Halichoerus grypus,1,9660
MARINE_MAMMALS,10340,iucn,TRUE,Mammalia,Hydrurga leptonyx,ITS-Mam-180667,Hydrurga leptonyx,1,10340
MARINE_MAMMALS,10708,iucn,TRUE,Mammalia,Hyperoodon planifrons,ITS-Mam-180505,Hyperoodon planifrons,1,10708
MARINE_MAMMALS,11048,iucn,TRUE,Mammalia,Kogia sima,ITS-Mam-180492,Kogia sima,1,11048
WRASSE,11130,iucn,TRUE,Actinopterygii,Lachnolaimus maximus,Fis-23577,Lachnolaimus maximus,null,11130
MARINE_MAMMALS,11140,iucn,TRUE,Mammalia,Lagenodelphis hosei,ITS-Mam-180440,Lagenodelphis hosei,1,11140
MARINE_MAMMALS,11141,iucn,TRUE,Mammalia,Lagenorhynchus acutus,ITS-Mam-180443,Lagenorhynchus acutus,1,11141
MARINE_MAMMALS,11142,iucn,TRUE,Mammalia,Lagenorhynchus albirostris,ITS-Mam-180442,Lagenorhynchus albirostris,1,11142
MARINE_MAMMALS,11143,iucn,TRUE,Mammalia,Lagenorhynchus australis,ITS-Mam-180446,Lagenorhynchus australis,1,11143
MARINE_MAMMALS,11144,iucn,TRUE,Mammalia,Lagenorhynchus cruciger,ITS-Mam-180447,Lagenorhynchus cruciger,1,11144
MARINE_MAMMALS,11145,iucn,TRUE,Mammalia,Lagenorhynchus obliquidens,ITS-Mam-180444,Lagenorhynchus obliquidens,1,11145
MARINE_MAMMALS,11146,iucn,TRUE,Mammalia,Lagenorhynchus obscurus,ITS-Mam-180445,Lagenorhynchus obscurus,1,11146
PUFFERFISH,11150,iucn,TRUE,Actinopterygii,Lagocephalus gloveri,Fis-34000,Lagocephalus gloveri,null,11150
REPTILES,11534,iucn,TRUE,Reptilia,Lepidochelys olivacea,Rep-6936,Lepidochelys olivacea,1,11534
MARINE_MAMMALS,11696,iucn,TRUE,Mammalia,Leptonychotes weddellii,ITS-Mam-180669,Leptonychotes weddellii,1,11696
MARINE_MAMMALS,12125,iucn,TRUE,Mammalia,Lissodelphis borealis,ITS-Mam-180454,Lissodelphis borealis,1,12125
SEABREAMS_PORGIES,12137,iucn,TRUE,Actinopterygii,Lithognathus lithognathus,Fis-23176,Lithognathus lithognathus,null,12137
MARINE_MAMMALS,12246,iucn,TRUE,Mammalia,Lobodon carcinophaga,ITS-Mam-622023,Lobodon carcinophaga,1,12246
TERRESTRIAL_MAMMALS,12419,iucn,TRUE,Mammalia,Lutra lutra,ITS-Mam-621916,Lutra lutra,null,12419
MARINE_MAMMALS,13006,iucn,TRUE,Mammalia,Megaptera novaeangliae,ITS-Mam-180530,Megaptera novaeangliae,1,13006
MARINE_MAMMALS,13241,iucn,TRUE,Mammalia,Mesoplodon bidens,ITS-Mam-180515,Mesoplodon bidens,1,13241
MARINE_MAMMALS,13243,iucn,TRUE,Mammalia,Mesoplodon carlhubbsi,ITS-Mam-180512,Mesoplodon carlhubbsi,1,13243
MARINE_MAMMALS,13245,iucn,TRUE,Mammalia,Mesoplodon europaeus,ITS-Mam-180509,Mesoplodon europaeus,1,13245
MARINE_MAMMALS,13246,iucn,TRUE,Mammalia,Mesoplodon ginkgodens,ITS-Mam-180510,Mesoplodon ginkgodens,1,13246
MARINE_MAMMALS,13247,iucn,TRUE,Mammalia,Mesoplodon grayi,ITS-Mam-180511,Mesoplodon grayi,1,13247
MARINE_MAMMALS,13248,iucn,TRUE,Mammalia,Mesoplodon hectori,ITS-Mam-180507,Mesoplodon hectori,1,13248
MARINE_MAMMALS,13249,iucn,TRUE,Mammalia,Mesoplodon layardii,ITS-Mam-180516,Mesoplodon layardii,1,13249
MARINE_MAMMALS,13250,iucn,TRUE,Mammalia,Mesoplodon mirus,ITS-Mam-180508,Mesoplodon mirus,1,13250
MARINE_MAMMALS,13251,iucn,TRUE,Mammalia,Mesoplodon peruvianus,ITS-Mam-552772,Mesoplodon peruvianus,null,13251
MARINE_MAMMALS,13252,iucn,TRUE,Mammalia,Mesoplodon stejnegeri,ITS-Mam-180514,Mesoplodon stejnegeri,null,13252
MARINE_MAMMALS,13581,iucn,TRUE,Mammalia,Mirounga angustirostris,ITS-Mam-180672,Mirounga angustirostris,1,13581
MARINE_MAMMALS,13583,iucn,TRUE,Mammalia,Mirounga leonina,ITS-Mam-180671,Mirounga leonina,1,13583
MARINE_MAMMALS,13653,iucn,TRUE,Mammalia,Monachus monachus,ITS-Mam-180659,Monachus monachus,1,13653
MARINE_MAMMALS,13654,iucn,TRUE,Mammalia,Neomonachus schauinslandi,ITS-Mam-180661,Monachus schauinslandi,1,13654
MARINE_MAMMALS,13704,iucn,TRUE,Mammalia,Monodon monoceros,ITS-Mam-180485,Monodon monoceros,1,13704
GROUPERS,14049,iucn,TRUE,Actinopterygii,Mycteroperca jordani,Fis-24803,Mycteroperca jordani,null,14049
GROUPERS,14050,iucn,TRUE,Actinopterygii,Mycteroperca microlepis,Fis-23649,Mycteroperca microlepis,null,14050
GROUPERS,14051,iucn,TRUE,Actinopterygii,Mycteroperca olfax,Fis-26901,Mycteroperca olfax,1,14051
GROUPERS,14052,iucn,TRUE,Actinopterygii,Mycteroperca prionura,Fis-33369,Mycteroperca prionura,null,14052
GROUPERS,14053,iucn,TRUE,Actinopterygii,Mycteroperca rosacea,Fis-27393,Mycteroperca rosacea,1,14053
GROUPERS,14054,iucn,TRUE,Actinopterygii,Mycteroperca rubra,Fis-23650,Mycteroperca rubra,null,14054
MARINE_MAMMALS,14549,iucn,TRUE,Mammalia,Neophoca cinerea,ITS-Mam-180623,Neophoca cinerea,1,14549
MARINE_MAMMALS,15106,iucn,TRUE,Mammalia,Odobenus rosmarus,ITS-Mam-180639,Odobenus rosmarus,null,15106
MARINE_MAMMALS,15269,iucn,TRUE,Mammalia,Ommatophoca rossii,ITS-Mam-180665,Ommatophoca rossii,1,15269
MARINE_MAMMALS,15419,iucn,TRUE,Mammalia,Orcaella brevirostris,ITS-Mam-180471,Orcaella brevirostris,1,15419
SEABREAMS_PORGIES,15873,iucn,TRUE,Actinopterygii,Pagrus pagrus,Fis-23707,Pagrus pagrus,1,15873
MARINE_MAMMALS,16564,iucn,TRUE,Mammalia,Peponocephala electra,ITS-Mam-180459,Peponocephala electra,1,16564
MARINE_MAMMALS,17013,iucn,TRUE,Mammalia,Phoca vitulina,ITS-Mam-180649,Phoca vitulina,1,17013
MARINE_MAMMALS,17026,iucn,TRUE,Mammalia,Phocarctos hookeri,ITS-Mam-180617,Phocarctos hookeri,1,17026
MARINE_MAMMALS,17027,iucn,TRUE,Mammalia,Phocoena phocoena,ITS-Mam-180473,Phocoena phocoena,1,17027
MARINE_MAMMALS,17028,iucn,TRUE,Mammalia,Phocoena sinus,ITS-Mam-180474,Phocoena sinus,1,17028
MARINE_MAMMALS,17029,iucn,TRUE,Mammalia,Phocoena spinipinnis,ITS-Mam-180476,Phocoena spinipinnis,1,17029
MARINE_MAMMALS,17032,iucn,TRUE,Mammalia,Phocoenoides dalli,ITS-Mam-180480,Phocoenoides dalli,1,17032
MARINE_MAMMALS,17978,iucn,TRUE,Mammalia,Pontoporia blainvillei,ITS-Mam-180411,Pontoporia blainvillei,1,17978
MARINE_MAMMALS,18596,iucn,TRUE,Mammalia,Pseudorca crassidens,ITS-Mam-180463,Pseudorca crassidens,1,18596
WRASSE,19950,iucn,TRUE,Actinopterygii,Scarus guacamaia,Fis-30607,Scarus guacamaia,null,19950
TUNAS_BILLFISHES,20047,iucn,TRUE,Actinopterygii,Scomberomorus concolor,Fis-22821,Scomberomorus concolor,1,20047
MARINE_MAMMALS,20424,iucn,TRUE,Mammalia,Sousa chinensis,ITS-180419,Sousa chinensis,1,20424
MARINE_MAMMALS,20729,iucn,TRUE,Mammalia,Stenella attenuata,ITS-Mam-180430,Stenella attenuata,1,20729
MARINE_MAMMALS,20730,iucn,TRUE,Mammalia,Stenella clymene,ITS-Mam-180435,Stenella clymene,1,20730
MARINE_MAMMALS,20731,iucn,TRUE,Mammalia,Stenella coeruleoalba,ITS-Mam-180434,Stenella coeruleoalba,1,20731
MARINE_MAMMALS,20732,iucn,TRUE,Mammalia,Stenella frontalis,ITS-Mam-552460,Stenella frontalis,1,20732
MARINE_MAMMALS,20733,iucn,TRUE,Mammalia,Stenella longirostris,ITS-Mam-180429,Stenella longirostris,1,20733
MARINE_MAMMALS,20738,iucn,TRUE,Mammalia,Steno bredanensis,ITS-Mam-180417,Steno bredanensis,1,20738
PUFFERFISH,21341,iucn,TRUE,Actinopterygii,Takifugu niphobles,Fis-28765,Takifugu niphobles,null,21341
PUFFERFISH,21342,iucn,TRUE,Actinopterygii,Takifugu poecilonotus,Fis-55125,Takifugu poecilonotus,null,21342
PUFFERFISH,21343,iucn,TRUE,Actinopterygii,Takifugu xanthopterus,Fis-28762,Takifugu xanthopterus,null,21343
MARINE_MAMMALS,21500,iucn,TRUE,Mammalia,Tasmacetus shepherdi,ITS-Mam-180500,Tasmacetus shepherdi,null,21500
WRASSE,21689,iucn,TRUE,Actinopterygii,Thalassoma ascensionis,Fis-52020,Thalassoma ascensionis,1,21689
TUNAS_BILLFISHES,21856,iucn,TRUE,Actinopterygii,Thunnus alalunga,Fis-22832,Thunnus alalunga,1,21856
TUNAS_BILLFISHES,21857,iucn,TRUE,Actinopterygii,Thunnus albacares,Fis-22833,Thunnus albacares,1,21857
TUNAS_BILLFISHES,21858,iucn,TRUE,Actinopterygii,Thunnus maccoyii,Fis-22835,Thunnus maccoyii,1,21858
TUNAS_BILLFISHES,21859,iucn,TRUE,Actinopterygii,Thunnus obesus,Fis-22836,Thunnus obesus,1,21859
TUNAS_BILLFISHES,21860,iucn,TRUE,Actinopterygii,Thunnus thynnus,Fis-49220,Thunnus thynnus,1,21860
PUFFERFISH,21994,iucn,TRUE,Actinopterygii,Torquigener brevipinnis,Fis-27843,Torquigener brevipinnis,null,21994
MARINE_MAMMALS,22103,iucn,TRUE,Mammalia,Trichechus manatus,ITS-Mam-180684,Trichechus manatus,1,22103
MARINE_MAMMALS,22563,iucn,TRUE,Mammalia,Tursiops truncatus,ITS-Mam-180426,Tursiops truncatus,1,22563
TUNAS_BILLFISHES,23148,iucn,TRUE,Actinopterygii,Xiphias gladius,Fis-29576,Xiphias gladius,1,23148
MARINE_MAMMALS,23211,iucn,TRUE,Mammalia,Ziphius cavirostris,ITS-Mam-180498,Ziphius cavirostris,1,23211
GROUPERS,39303,iucn,TRUE,Actinopterygii,Dermatolepis inermis,Fis-24556,Dermatolepis inermis,null,39303
GROUPERS,39773,iucn,TRUE,Actinopterygii,Cephalopholis boenak,Fis-26117,Cephalopholis boenak,null,39773
GROUPERS,39774,iucn,TRUE,Actinopterygii,Cromileptes altivelis,Fis-26129,Cromileptes altivelis,1,39774
MARINE_MAMMALS,40635,iucn,TRUE,Mammalia,Indopacetus pacificus,ITS-Mam-180502,Indopacetus pacificus,1,40635
MARINE_MAMMALS,41664,iucn,TRUE,Mammalia,Arctocephalus forsteri,ITS-Mam-180631,Arctocephalus forsteri,1,41664
MARINE_MAMMALS,41665,iucn,TRUE,Mammalia,Otaria byronia,ITS-Mam-180619,Otaria flavescens,1,41665
MARINE_MAMMALS,41666,iucn,TRUE,Mammalia,Zalophus californianus,ITS-Mam-180621,Zalophus californianus,1,41666
MARINE_MAMMALS,41668,iucn,TRUE,Mammalia,Zalophus wollebaeki,ITS-Mam-622014,Zalophus wollebaeki,1,41668
MARINE_MAMMALS,41670,iucn,TRUE,Mammalia,Histriophoca fasciata,ITS-Mam-622021,Histriophoca fasciata,null,41670
MARINE_MAMMALS,41671,iucn,TRUE,Mammalia,Pagophilus groenlandicus,ITS-Mam-622022,Pagophilus groenlandicus,1,41671
MARINE_MAMMALS,41672,iucn,TRUE,Mammalia,Pusa hispida,ITS-Mam-622018,Pusa hispida,null,41672
MARINE_MAMMALS,41711,iucn,TRUE,Mammalia,Eubalaena japonica,ITS-Mam-612591,Eubalaena japonica,1,41711
MARINE_MAMMALS,41712,iucn,TRUE,Mammalia,Eubalaena glacialis,ITS-Mam-180537,Eubalaena glacialis,1,41712
MARINE_MAMMALS,41714,iucn,TRUE,Mammalia,Tursiops aduncus,ITS-Mam-612596,Tursiops aduncus,1,41714
MARINE_MAMMALS,41715,iucn,TRUE,Mammalia,Phocoena dioptrica,ITS-Mam-180475,Phocoena dioptrica,1,41715
MARINE_MAMMALS,41755,iucn,TRUE,Mammalia,Physeter macrocephalus,ITS-Mam-180488,Physeter macrocephalus,1,41755
MARINE_MAMMALS,41759,iucn,TRUE,Mammalia,Mesoplodon perrini,ITS-612599,Mesoplodon perrini,1,41759
MARINE_MAMMALS,41760,iucn,TRUE,Mammalia,Mesoplodon traversii,ITS-Mam-612598,Mesoplodon traversii,1,41760
GROUPERS,43974,iucn,TRUE,Actinopterygii,Epinephelus akaara,Fis-25493,Epinephelus akaara,1,43974
GROUPERS,44672,iucn,TRUE,Actinopterygii,Dermatolepis striolata,Fis-26130,Dermatolepis striolata,null,44672
GROUPERS,44673,iucn,TRUE,Actinopterygii,Epinephelus fuscoguttatus,Fis-25130,Epinephelus fuscoguttatus,1,44673
GROUPERS,44674,iucn,TRUE,Actinopterygii,Epinephelus coioides,Fis-26136,Epinephelus coioides,1,44674
GROUPERS,44675,iucn,TRUE,Actinopterygii,Hyporthodus quernus,Fis-163783,Hyporthodus quernus,null,44675
GROUPERS,44677,iucn,TRUE,Actinopterygii,Epinephelus albomarginatus,Fis-31618,Epinephelus albomarginatus,1,44677
GROUPERS,44681,iucn,TRUE,Actinopterygii,Epinephelus morio,Fis-22721,Epinephelus morio,null,44681
GROUPERS,44682,iucn,TRUE,Actinopterygii,Mycteroperca tigris,Fis-23651,Mycteroperca tigris,null,44682
GROUPERS,44683,iucn,TRUE,Actinopterygii,Mycteroperca venenosa,Fis-23652,Mycteroperca venenosa,null,44683
GROUPERS,44684,iucn,TRUE,Actinopterygii,Plectropomus leopardus,Fis-25341,Plectropomus leopardus,null,44684
GROUPERS,44686,iucn,TRUE,Actinopterygii,Epinephelus cifuentesi,Fis-33251,Epinephelus cifuentesi,null,44686
GROUPERS,61336,iucn,TRUE,Actinopterygii,Epinephelus awoara,Fis-26492,Epinephelus awoara,null,61336
GROUPERS,61337,iucn,TRUE,Actinopterygii,Epinephelus daemelii,Fis-26498,Epinephelus daemelii,null,61337
GROUPERS,61338,iucn,TRUE,Actinopterygii,Epinephelus malabaricus,Fis-26113,Epinephelus malabaricus,null,61338
GROUPERS,61339,iucn,TRUE,Actinopterygii,Epinephelus polyphekadion,Fis-26142,Epinephelus polyphekadion,null,61339
WRASSE,63571,iucn,TRUE,Actinopterygii,Bolbometopon muricatum,Fis-25689,Bolbometopon muricatum,1,63571
GROUPERS,64396,iucn,TRUE,Actinopterygii,Epinephelus bruneus,Fis-32305,Epinephelus bruneus,1,64396
GROUPERS,64400,iucn,TRUE,Actinopterygii,Hyporthodus flavolimbatus,Fis-163777,Hyporthodus flavolimbatus,null,64400
GROUPERS,64406,iucn,TRUE,Actinopterygii,Epinephelus timorensis,Fis-32318,Epinephelus timorensis,null,64406
GROUPERS,64407,iucn,TRUE,Actinopterygii,Epinephelus tuamotuensis,Fis-32320,Epinephelus tuamotuensis,null,64407
GROUPERS,64408,iucn,TRUE,Actinopterygii,Epinephelus undulatostriatus,Fis-26516,Epinephelus undulatostriatus,null,64408
GROUPERS,64410,iucn,TRUE,Actinopterygii,Mycteroperca interstitialis,Fis-23648,Mycteroperca interstitialis,null,64410
GROUPERS,64411,iucn,TRUE,Actinopterygii,Plectropomus areolatus,Fis-31641,Plectropomus areolatus,1,64411
GROUPERS,64412,iucn,TRUE,Actinopterygii,Plectropomus laevis,Fis-26517,Plectropomus laevis,1,64412
GROUPERS,132722,iucn,TRUE,Actinopterygii,Epinephelus aeneus,Fis-23120,Epinephelus aeneus,null,132722
GROUPERS,132723,iucn,TRUE,Actinopterygii,Epinephelus maculatus,Fis-25572,Epinephelus maculatus,null,132723
GROUPERS,132725,iucn,TRUE,Actinopterygii,Cephalopholis aurantia,Fis-26116,Cephalopholis aurantia,null,132725
GROUPERS,132726,iucn,TRUE,Actinopterygii,Epinephelus flavocaeruleus,Fis-26503,Epinephelus flavocaeruleus,null,132726
GROUPERS,132727,iucn,TRUE,Actinopterygii,Paranthias furcifer,Fis-23713,Paranthias furcifer,null,132727
GROUPERS,132728,iucn,TRUE,Actinopterygii,Epinephelus summana,Fis-26514,Epinephelus summana,null,132728
GROUPERS,132729,iucn,TRUE,Actinopterygii,Mycteroperca phenax,Fis-30327,Mycteroperca phenax,null,132729
GROUPERS,132730,iucn,TRUE,Actinopterygii,Hyporthodus acanthistius,Fis-163774,Hyporthodus acanthistius,null,132730
GROUPERS,132732,iucn,TRUE,Actinopterygii,Cephalopholis miniata,Fis-26123,Cephalopholis miniata,null,132732
GROUPERS,132733,iucn,TRUE,Actinopterygii,Cephalopholis panamensis,Fis-27163,Cephalopholis panamensis,null,132733
GROUPERS,132734,iucn,TRUE,Actinopterygii,Hyporthodus niphobles,Fis-163780,Hyporthodus niphobles,null,132734
GROUPERS,132735,iucn,TRUE,Actinopterygii,Epinephelus latifasciatus,Fis-115487,Epinephelus latifasciatus,null,132735
GROUPERS,132736,iucn,TRUE,Actinopterygii,Epinephelus rivulatus,Fis-25944,Epinephelus rivulatus,null,132736
GROUPERS,132737,iucn,TRUE,Actinopterygii,Cephalopholis leopardus,Fis-26121,Cephalopholis leopardus,null,132737
GROUPERS,132738,iucn,TRUE,Actinopterygii,Variola louti,Fis-25576,Variola louti,null,132738
GROUPERS,132739,iucn,TRUE,Actinopterygii,Epinephelus undulosus,Fis-26145,Epinephelus undulosus,null,132739
GROUPERS,132741,iucn,TRUE,Actinopterygii,Cephalopholis sexmaculata,Fis-26125,Cephalopholis sexmaculata,null,132741
GROUPERS,132742,iucn,TRUE,Actinopterygii,Cephalopholis nigri,Fis-27331,Cephalopholis nigri,null,132742
GROUPERS,132743,iucn,TRUE,Actinopterygii,Cephalopholis formosa,Fis-26119,Cephalopholis formosa,null,132743
GROUPERS,132745,iucn,TRUE,Actinopterygii,Epinephelus morrhua,Fis-25575,Epinephelus morrhua,null,132745
GROUPERS,132746,iucn,TRUE,Actinopterygii,Epinephelus melanostigma,Fis-31844,Epinephelus melanostigma,null,132746
GROUPERS,132747,iucn,TRUE,Actinopterygii,Epinephelus spilotoceps,Fis-31554,Epinephelus spilotoceps,null,132747
GROUPERS,132748,iucn,TRUE,Actinopterygii,Epinephelus longispinis,Fis-26507,Epinephelus longispinis,null,132748
GROUPERS,132749,iucn,TRUE,Actinopterygii,Epinephelus stictus,Fis-32316,Epinephelus stictus,null,132749
GROUPERS,132751,iucn,TRUE,Actinopterygii,Epinephelus coeruleopunctatus,Fis-135733,Epinephelus coeruleopunctatus,null,132751
GROUPERS,132752,iucn,TRUE,Actinopterygii,Epinephelus bilobatus,Fis-32304,Epinephelus bilobatus,null,132752
GROUPERS,132753,iucn,TRUE,Actinopterygii,Epinephelus polylepis,Fis-32313,Epinephelus polylepis,null,132753
GROUPERS,132754,iucn,TRUE,Actinopterygii,Alphestes immaculatus,Fis-32974,Alphestes immaculatus,null,132754
GROUPERS,132755,iucn,TRUE,Actinopterygii,Epinephelus radiatus,Fis-26511,Epinephelus radiatus,null,132755
GROUPERS,132756,iucn,TRUE,Actinopterygii,Epinephelus miliaris,Fis-26508,Epinephelus miliaris,null,132756
GROUPERS,132757,iucn,TRUE,Actinopterygii,Cephalopholis sonnerati,Fis-26126,Cephalopholis sonnerati,null,132757
GROUPERS,132758,iucn,TRUE,Actinopterygii,Epinephelus tauvina,Fis-25131,Epinephelus tauvina,null,132758
GROUPERS,132759,iucn,TRUE,Actinopterygii,Cephalopholis hemistiktos,Fis-26120,Cephalopholis hemistiktos,null,132759
GROUPERS,132760,iucn,TRUE,Actinopterygii,Epinephelus faveatus,Fis-26502,Epinephelus faveatus,1,132760
GROUPERS,132761,iucn,TRUE,Actinopterygii,Cephalopholis cruentata,Fis-22703,Cephalopholis cruentata,null,132761
GROUPERS,132762,iucn,TRUE,Actinopterygii,Epinephelus costae,Fis-27343,Epinephelus costae,null,132762
GROUPERS,132763,iucn,TRUE,Actinopterygii,Epinephelus corallicola,Fis-26137,Epinephelus corallicola,null,132763
GROUPERS,132764,iucn,TRUE,Actinopterygii,Alphestes afer,Fis-27135,Alphestes afer,null,132764
GROUPERS,132765,iucn,TRUE,Actinopterygii,Epinephelus goreensis,Fis-25402,Epinephelus goreensis,null,132765
GROUPERS,132766,iucn,TRUE,Actinopterygii,Epinephelus macrospilos,Fis-26245,Epinephelus macrospilos,null,132766
GROUPERS,132767,iucn,TRUE,Actinopterygii,Dermatolepis dermatolepis,Fis-27319,Dermatolepis dermatolepis,null,132767
GROUPERS,132769,iucn,TRUE,Actinopterygii,Epinephelus fasciatomaculosus,Fis-26138,Epinephelus fasciatomaculosus,null,132769
